Metadata_broad_sample,Metadata_moa
BRD-K82677201-001-01-6,neurotransmitter agonist
BRD-K81258678-001-01-0,RNA polymerase inhibitor
BRD-A82035391-001-02-7,vasopressin receptor antagonist
BRD-A82156122-001-01-9,dipeptidyl peptidase inhibitor
BRD-K82746043-001-15-1,BCL inhibitor
BRD-A67862938-034-14-9,adrenergic receptor antagonist
BRD-K67966701-001-11-6,angiotensin converting enzyme inhibitor
BRD-K68065987-300-09-1,AKT inhibitor
BRD-K67901620-001-02-0,ACAT inhibitor
BRD-K67102207-236-07-7,HDAC inhibitor
BRD-K68095457-001-10-1,cannabinoid receptor agonist
BRD-K68232650-001-02-2,collapsin response mediator protein inhibitor|collapsin response mediator protein stimulant|sodium channel blocker
BRD-A68304895-003-02-2,dopamine reuptake inhibitor
BRD-K68392338-003-02-0,benzodiazepine receptor antagonist
BRD-A68281735-001-18-6,leukotriene receptor antagonist|lipoxygenase inhibitor
BRD-K68346641-001-02-2,topoisomerase inhibitor
BRD-A68464583-001-02-5,dopamine reuptake inhibitor|serotonin reuptake inhibitor
BRD-A68493689-001-01-9,HCV inhibitor
BRD-K68867920-051-11-5,dopamine receptor antagonist|serotonin receptor antagonist
BRD-A68888262-003-15-1,histamine receptor antagonist
BRD-A68942014-003-01-7,serotonin transporter (SERT) inhibitor
BRD-K69116396-001-04-1,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K68870568-066-01-5,Bcr-Abl kinase inhibitor
BRD-K69001009-001-02-8,VEGFR inhibitor
BRD-K69122748-001-10-1,interleukin inhibitor
BRD-K35189033-001-26-1,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist
BRD-K69726595-001-01-2,HCV inhibitor
BRD-K70301465-001-02-6,BTK inhibitor
BRD-K69726342-238-02-4,HMGCR inhibitor
BRD-K69776681-001-03-8,PLK inhibitor
BRD-A70083328-001-23-5,acetylcholinesterase inhibitor|microtubule inhibitor
BRD-K70301876-034-13-7,selective serotonin reuptake inhibitor (SSRI)
BRD-K70464547-003-01-2,serotonin receptor antagonist
BRD-K70505054-003-12-4,histamine receptor antagonist
BRD-K70511574-001-06-9,PLK inhibitor
BRD-K70592483-001-01-0,DNA methylase inhibitor|protein synthesis inhibitor
BRD-K70490179-300-01-2,sigma receptor antagonist
BRD-K70507123-001-09-7,adenosine receptor antagonist
BRD-K70610771-001-02-9,HCV inhibitor
BRD-K70924353-001-01-2,cyclooxygenase inhibitor
BRD-K71075609-003-01-0,carbonic anhydrase inhibitor
BRD-K71106091-001-06-1,DNA synthesis inhibitor
BRD-A70998768-004-01-1,T-type calcium channel blocker
BRD-K71058253-001-01-9,sterol demethylase inhibitor
BRD-K71103788-003-12-0,norepinephrine reuptake inhibitor|serotonin reuptake inhibitor
BRD-K71164191-001-01-0,ACAT inhibitor
BRD-K71603915-003-01-8,acetylcholine receptor agonist
BRD-K71822263-001-03-2,glutamate receptor agonist
BRD-K72029282-001-22-0,atherogenesis inhibitor
BRD-K72093121-001-16-3,antiviral
BRD-K71799949-001-36-4,carboxamide antiepileptic
BRD-K72005722-001-01-2,cytochrome P450 inhibitor
BRD-A72066420-001-04-5,PPAR receptor antagonist
BRD-K72166146-066-05-4,serotonin receptor agonist
BRD-K72827473-001-01-0,ALK tyrosine kinase receptor inhibitor
BRD-K72951360-001-01-4,DNA inhibitor|topoisomerase inhibitor
BRD-K73107279-003-12-5,acetylcholine receptor agonist
BRD-A72711497-236-03-8,bacterial permeability inducer
BRD-K72922393-003-15-2,nitric oxide donor
BRD-K73088654-001-01-9,DNA synthesis inhibitor
BRD-K73109821-001-20-1,potassium channel activator
BRD-K73524797-001-01-1,antiamyloidogenic agent
BRD-A73556557-001-06-4,phosphorylase inhibitor
BRD-A73741725-001-02-8,aromatase inhibitor
BRD-K73541271-001-03-6,cyclooxygenase inhibitor
BRD-A20239487-001-24-9,adrenergic receptor antagonist
BRD-K73794685-001-01-5,bacterial 50S ribosomal subunit inhibitor
BRD-K74065929-001-07-2,p38 MAPK inhibitor
BRD-K74190368-001-04-3,phosphodiesterase inhibitor
BRD-K74305673-001-06-2,IKK inhibitor|NFkB pathway inhibitor
BRD-K74141488-003-11-2,fungal squalene epoxidase inhibitor
BRD-K74195153-050-12-1,phosphodiesterase inhibitor
BRD-K74339692-001-01-9,adrenergic receptor antagonist
BRD-K74371986-001-01-7,neurotrophic agent
BRD-K74763371-002-04-0,endothelin receptor antagonist
BRD-A74914197-001-02-9,dihydrofolate reductase inhibitor
BRD-K75037734-003-13-9,cholinergic receptor agonist
BRD-A75172220-001-04-0,glucocorticoid receptor agonist
BRD-K74765201-001-16-7,leukotriene receptor antagonist
BRD-K75089421-003-24-5,sodium channel blocker
BRD-K75295174-001-05-0,Aurora kinase inhibitor
BRD-K75699339-057-08-1,serotonin receptor agonist
BRD-K75844781-003-08-0,serotonin receptor agonist
BRD-K76197012-001-01-2,progesterone receptor antagonist
BRD-A75726477-003-21-3,adrenergic receptor agonist
BRD-K75911534-001-01-6,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K76022557-003-02-7,dopamine receptor agonist
BRD-K76205745-237-16-5,angiotensin receptor antagonist
BRD-A76747559-001-03-1,antioxidant|capillary stabilizing agent|nitric oxide scavenger
BRD-K76810206-001-07-3,adrenergic receptor antagonist
BRD-K76841105-001-04-7,retinoid receptor agonist
BRD-K76953762-001-08-5,adrenergic receptor antagonist
BRD-K76775527-001-30-2,cyclooxygenase inhibitor
BRD-K76812510-236-14-8,cyclooxygenase inhibitor|opioid receptor agonist
BRD-K77396579-300-01-0,dipeptidyl peptidase inhibitor
BRD-K77695569-001-30-0,angiogenesis inhibitor
BRD-K78010432-001-21-5,diuretic
BRD-K78096648-001-05-7,dopamine receptor antagonist
BRD-K45275534-001-01-3,coagulation inhibitor
BRD-K77947974-001-16-3,dopamine receptor antagonist
BRD-K78055238-001-01-8,glycogen synthase kinase inhibitor
BRD-K78113049-001-16-2,topoisomerase inhibitor
BRD-A78341343-001-01-6,adenosine receptor agonist
BRD-K78485176-001-07-8,angiotensin receptor antagonist
BRD-K78567475-001-01-4,tubulin inhibitor
BRD-K78692225-001-24-5,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor
BRD-K78431006-001-10-2,ALK tyrosine kinase receptor inhibitor
BRD-K78513633-001-15-7,glucokinase inhibitor
BRD-K78659596-001-03-9,proteasome inhibitor
BRD-A78723049-001-01-2,bacterial cell wall synthesis inhibitor
BRD-A79431551-001-01-1,adenosylhomocysteinase inhibitor
BRD-K79595931-312-01-3,histamine receptor antagonist
BRD-K79759585-048-04-8,phosphodiesterase inhibitor
BRD-K79404599-001-09-3,PKC inhibitor
BRD-K79501723-001-04-6,histamine receptor modulator
BRD-K79602928-003-19-9,insulin sensitizer
BRD-A79768653-001-12-0,mTOR inhibitor
BRD-A97701745-001-16-0,adrenergic receptor antagonist
BRD-K97746869-001-27-0,ATP channel blocker
BRD-K98493452-001-14-9,AKT inhibitor
BRD-K97729603-001-01-2,calcineurin inhibitor
BRD-K97799481-001-16-0,adenosine receptor antagonist
BRD-K98530306-003-18-3,adrenergic receptor agonist
BRD-K98624455-074-02-8,histamine receptor antagonist
BRD-K91336023-003-01-0,dopamine receptor agonist
BRD-K92213669-001-01-3,microsomal trigylceride transfer protein inhibitor
BRD-A90799790-001-19-9,calcium channel blocker
BRD-K91456750-238-01-7,neprilysin inhibitor
BRD-K92241597-001-06-0,peptidase inhibitor
BRD-K96194081-001-10-2,NFkB pathway inhibitor
BRD-K99475619-001-01-2,topoisomerase inhibitor
BRD-K98733875-001-01-4,beta glucuronidase inhibitor
BRD-K88544581-001-06-1,ACAT inhibitor
BRD-K90333595-003-21-4,adrenergic receptor antagonist
BRD-A98702003-304-04-8,11-beta-HSD1 inhibitor
BRD-A89175223-051-14-8,adrenergic receptor antagonist
BRD-K91301684-003-05-5,bradykinin receptor antagonist|tubulin inhibitor
BRD-K91822704-003-07-2,DNA polymerase inhibitor
BRD-K73815512-001-02-5,TRPA1 channel blocker
BRD-K74057757-001-01-9,tubulin inhibitor
BRD-K99113996-001-02-0,mTOR inhibitor
BRD-A73908300-001-06-7,SIRT inhibitor
BRD-K73999723-001-11-3,angiotensin receptor antagonist
BRD-A74391928-051-01-3,potassium channel blocker
BRD-K74514084-001-03-9,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K74717603-001-02-2,non-nucleoside reverse transcriptase inhibitor
BRD-A75479906-001-02-4,antiviral|RNA synthesis inhibitor
BRD-K75641298-003-25-0,dopamine receptor antagonist|serotonin receptor antagonist
BRD-A74667430-001-23-6,cyclooxygenase inhibitor
BRD-A75305484-001-01-3,"fungal 1,3-beta-D-glucan synthase inhibitor"
BRD-K75649340-001-13-1,purine antagonist
BRD-K76210423-001-01-6,toll-like receptor agonist
BRD-A82522119-001-01-7,androgen receptor agonist|estrogen receptor agonist|progesterone receptor agonist
BRD-K77625799-001-07-7,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K76617868-003-11-9,rho associated kinase inhibitor
BRD-K76674262-001-03-3,protein synthesis inhibitor
BRD-K77561571-001-01-1,xanthine oxidase inhibitor
BRD-K77641333-003-27-1,adrenergic receptor agonist
BRD-K77685957-300-09-1,PKC inhibitor
BRD-K78126613-001-28-5,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor
BRD-K78303961-001-02-3,tumor necrosis factor release inhibitor
BRD-K79095980-001-09-6,antimetabolite
BRD-K78118466-001-03-3,TGF beta receptor inhibitor
BRD-A78195072-001-06-2,apoptosis stimulant|ribonucleoside reductase inhibitor
BRD-A78877355-001-03-0,cyclooxygenase inhibitor
BRD-K79102359-003-01-6,serotonin receptor antagonist
BRD-A79981887-003-16-4,adrenergic receptor agonist
BRD-A80017228-001-25-7,sodium/potassium/chloride transporter inhibitor
BRD-K73381542-003-23-4,adrenergic receptor agonist
BRD-K79131256-001-17-9,tubulin inhibitor
BRD-K79989959-001-01-4,RNA polymerase inhibitor
BRD-K80043866-236-01-1,antacid
BRD-K73440166-001-01-3,guanylate cyclase activator
BRD-K87300616-001-01-9,"nuclear factor erythroid derived, like (NRF2) activator"
BRD-A87479750-001-02-7,cyclooxygenase inhibitor
BRD-K87782578-001-01-4,Bruton's tyrosine kinase (BTK) inhibitor
BRD-A87435144-001-01-6,pyruvate dehydrogenase kinase inhibitor
BRD-K87737963-001-06-0,NA
BRD-K87909389-003-03-4,CDK inhibitor
BRD-A88138582-001-04-8,glucocorticoid receptor agonist
BRD-K88366685-300-06-0,3-ketoacyl CoA thiolase inhibitor
BRD-K88506063-001-01-8,rho associated kinase inhibitor
BRD-K88358234-003-04-8,serotonin receptor agonist
BRD-K88429204-001-35-1,dihydrofolate reductase inhibitor
BRD-K88510285-001-11-1,NFkB pathway inhibitor|proteasome inhibitor
BRD-K88611939-001-22-4,glutamate receptor agonist
BRD-K87156652-001-12-7,antithyroid agent
BRD-A89164055-001-03-3,aldose reductase inhibitor
BRD-K89208535-051-01-5,adrenergic receptor agonist
BRD-K89348303-001-14-7,angiotensin converting enzyme inhibitor
BRD-K89162000-001-06-4,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
BRD-K89274813-001-02-3,acetylcholine release stimulant
BRD-K89375097-300-08-8,acetylcholine receptor antagonist
BRD-M89827113-001-01-5,potassium channel activator
BRD-K89997465-003-43-0,dopamine receptor antagonist
BRD-A90625545-001-02-0,lipase clearing factor inhibitor
BRD-K89917372-001-01-2,potassium channel activator
BRD-K90195324-003-02-5,selective estrogen receptor modulator (SERM)
BRD-A90547603-001-02-5,platelet aggregation inhibitor
BRD-K90777969-300-01-2,sigma receptor agonist
BRD-K90948141-001-01-4,benzodiazepine receptor agonist|GABA receptor agonist
BRD-K91159026-001-01-7,calcitonin antagonist
BRD-A05457250-001-05-0,L-type calcium channel activator
BRD-K91308639-001-02-7,androgen receptor antagonist
BRD-K91111634-001-01-2,dopamine receptor agonist
BRD-K91263825-003-21-4,tricyclic antidepressant
BRD-K91315211-300-05-7,histamine receptor agonist|histamine receptor antagonist
BRD-K91601245-001-12-0,immunosuppressant|protein synthesis inhibitor|purine antagonist
BRD-A91877226-001-01-4,DNA synthesis inhibitor|thymidylate synthase inhibitor
BRD-K92049597-001-20-8,sodium channel blocker
BRD-A91699651-316-10-9,antimalarial agent
BRD-K91825936-001-01-2,CC chemokine receptor antagonist
BRD-K92041145-001-09-5,O6-alkylguanine-DNA alkyltransferase inhibitor
BRD-K92093830-003-30-8,topoisomerase inhibitor
BRD-K98769987-001-23-7,benzodiazepine receptor antagonist
BRD-A98990573-003-01-3,histamine receptor antagonist
BRD-K99092662-001-01-1,androgen receptor modulator
BRD-K99792991-001-34-9,potassium channel activator
BRD-A98845662-036-03-7,serotonin reuptake inhibitor
BRD-K99023089-001-03-7,AKT inhibitor
BRD-K99749624-001-07-0,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-A99939097-001-24-2,acetylcholine receptor antagonist
BRD-K99383816-001-02-7,thymidylate synthase inhibitor
BRD-A65051990-001-12-9,vitamin K antagonist
BRD-A20348246-001-15-8,GABA receptor modulator
BRD-K99257182-310-01-6,hemozoin biocrystallization inhibitor
BRD-K99451608-001-07-3,HIV protease inhibitor
BRD-K91740057-001-19-8,cyclooxygenase inhibitor
BRD-A15931911-001-03-8,adenosine receptor agonist|cAMP stimulant
BRD-K92301463-001-05-5,prostanoid receptor agonist
BRD-A92630576-050-24-1,opioid receptor agonist
BRD-K92723993-001-06-7,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
BRD-K92303087-001-01-6,phosphodiesterase inhibitor
BRD-K92657060-001-05-7,benzodiazepine receptor agonist
BRD-K61443650-236-13-1,other antibiotic
BRD-K93123848-001-04-1,RAF inhibitor|VEGFR inhibitor
BRD-A93255169-001-28-3,TNF production inhibitor
BRD-K93869735-001-01-1,thyrotropin releasing hormone receptor agonist
BRD-K93208532-001-02-5,phosphodiesterase inhibitor
BRD-K93255255-001-02-1,"indoleamine 2,3-dioxygenase inhibitor"
BRD-K93880783-001-26-6,DNA directed DNA polymerase inhibitor|reverse transcriptase inhibitor
BRD-K93779381-001-01-9,PKC activator
BRD-K93767137-001-01-1,neuraminidase inhibitor
BRD-A94756469-001-04-7,ATPase inhibitor
BRD-K94436377-001-10-2,aryl hydrocarbon receptor agonist|capillary stabilizing agent
BRD-K95763993-001-19-3,PDGFR tyrosine kinase receptor inhibitor
BRD-A94543220-001-24-7,sterol demethylase inhibitor
BRD-K94534639-001-02-5,beta-secretase inhibitor
BRD-K95773607-004-03-8,acetylcholine receptor antagonist
BRD-A95869247-001-26-9,thiazide diuretic
BRD-K96319534-003-03-9,dopamine uptake inhibitor|serotonin reuptake inhibitor
BRD-K96615647-001-01-2,tachykinin antagonist
BRD-K95880107-001-02-4,p38 MAPK inhibitor
BRD-K96342952-001-01-2,bacterial 30S ribosomal subunit inhibitor
BRD-A96456596-001-02-2,leukotriene receptor antagonist
BRD-K97101532-001-02-8,CFTR channel agonist
BRD-A97104540-004-15-0,adrenergic receptor agonist
BRD-K97181089-003-24-7,sodium channel blocker
BRD-K97564742-050-32-7,histamine receptor antagonist
BRD-K97643133-003-09-3,CD antagonist
BRD-K97158071-001-18-1,dopamine receptor antagonist
BRD-K97530723-001-20-9,melatonin receptor agonist|nitric oxide synthase inhibitor
BRD-A97674275-001-11-8,sodium channel blocker
BRD-K93034159-001-25-8,adenosine deaminase inhibitor|ribonucleoside reductase inhibitor
BRD-K95412502-003-01-5,ATPase inhibitor
BRD-K97309399-001-09-4,dopamine receptor antagonist
BRD-K93461745-003-25-0,serotonin receptor agonist
BRD-K94288301-001-01-7,CMV terminase inhibitor
BRD-A95939040-001-01-2,sterol demethylase inhibitor
BRD-K99504665-001-01-2,gonadotropin releasing factor hormone receptor agonist
BRD-K98572433-001-02-9,EGFR inhibitor
BRD-K90868879-001-03-8,sodium/glucose cotransporter inhibitor
BRD-K91544578-001-03-8,immunostimulant
BRD-K99545815-001-06-3,focal adhesion kinase inhibitor
BRD-K90825648-001-02-0,serotonin receptor antagonist
BRD-K91495480-001-02-2,membrane permeability inhibitor
BRD-K41996876-001-06-3,NA
BRD-K99604664-001-01-1,progesterone receptor agonist
BRD-A97808748-001-03-8,mineralocorticoid receptor antagonist
BRD-A97739905-001-26-5,cyclooxygenase inhibitor
BRD-A38592941-001-02-7,antioxidant
BRD-K98004573-051-02-8,histamine receptor antagonist|platelet activating factor receptor antagonist
BRD-K97963946-001-01-3,hepatocyte growth factor receptor inhibitor
BRD-K97884852-001-05-4,protein synthesis stimulant
BRD-K07857022-002-01-1,opioid receptor antagonist
BRD-K92428153-001-04-4,dehydrogenase inhibitor|inositol monophosphatase inhibitor
BRD-K92441787-001-04-1,retinoid receptor agonist
BRD-A92537424-001-04-7,estrogen receptor antagonist|progesterone receptor agonist
BRD-K92428232-001-10-6,PLK inhibitor
BRD-K92467929-001-01-1,androgen receptor agonist
BRD-K92613113-066-02-7,dopamine uptake inhibitor|glutamate inhibitor|monoamine oxidase inhibitor
BRD-K92758126-001-18-8,NFkB pathway inhibitor
BRD-K92848252-001-01-9,angiotensin converting enzyme activator
BRD-K92984783-003-05-7,dopamine receptor antagonist|serotonin receptor antagonist
BRD-A92826379-001-01-5,sodium channel blocker
BRD-K92968657-001-01-6,DNA inhibitor
BRD-A93000692-001-08-1,PPAR receptor agonist
BRD-A93093700-001-02-9,GABA receptor agonist
BRD-A93353767-008-02-2,fungal lanosterol demethylase inhibitor
BRD-K93460210-001-23-7,serotonin receptor antagonist|sodium channel blocker
BRD-K93618743-001-21-0,bone resorption inhibitor
BRD-K93645900-001-11-3,phosphodiesterase inhibitor
BRD-A93424738-001-04-8,glucocorticoid receptor agonist
BRD-K93633846-001-01-7,flavanone glycoside
BRD-K93754473-048-20-2,estrogen receptor antagonist|selective estrogen receptor modulator (SERM)
BRD-K93918653-001-08-9,FLT3 inhibitor
BRD-A93964801-003-03-3,bacterial DNA gyrase inhibitor
BRD-K94397152-001-01-6,antiviral
BRD-K93944989-001-08-0,PKC inhibitor
BRD-A94276798-001-01-4,adrenergic receptor antagonist
BRD-K94293891-001-01-3,orexin receptor antagonist
BRD-K94420399-001-01-9,CC chemokine receptor antagonist
BRD-K94830329-001-03-0,CFTR channel agonist|dystrophin stimulant
BRD-K95142244-001-01-5,PARP inhibitor
BRD-K95260951-050-03-1,dopamine receptor antagonist|serotonin receptor antagonist
BRD-A95696066-003-13-8,norepinephrine reuptake inhibitor
BRD-A95032015-065-01-2,reverse transcriptase inhibitor
BRD-K95237249-001-26-5,uricosuric blocker
BRD-K95739795-001-03-7,vesicular monoamine transporter inhibitor
BRD-K95901403-001-04-5,PI3K inhibitor
BRD-K96042922-001-09-8,bacterial cell wall synthesis inhibitor
BRD-K96123349-236-02-8,dihydroorotate dehydrogenase inhibitor
BRD-K95921201-001-14-6,vesicular monoamine transporter inhibitor
BRD-K63750851-001-20-7,dehydrogenase inhibitor|inositol monophosphatase inhibitor
BRD-A96060515-004-01-6,acetylcholine receptor antagonist
BRD-A96292436-003-16-1,ornithine decarboxylase inhibitor
BRD-K96671969-001-03-1,nitric oxide donor
BRD-K96740444-001-02-1,dopamine receptor antagonist
BRD-K96862998-001-15-5,TGF beta receptor inhibitor
BRD-K97010173-001-04-1,chelating agent
BRD-K96720755-001-02-6,vasopressin receptor antagonist
BRD-A96754982-001-01-4,calcineurin inhibitor
BRD-K96936751-001-01-4,GABA benzodiazepine site receptor partial agonist
BRD-K97045029-001-02-7,leukotriene receptor antagonist
BRD-K97428065-001-01-2,tachykinin antagonist
BRD-K97440753-066-18-1,adrenergic receptor antagonist|prolactin inhibitor
BRD-A97479839-003-13-3,acetylcholine receptor antagonist
BRD-K97399794-001-15-3,polar auxin transport inhibitor
BRD-A97437073-050-14-5,insulin sensitizer|PPAR receptor agonist
BRD-K97472745-001-01-8,progesterone receptor antagonist
BRD-A97502381-001-01-3,methylmalonyl CoA mutase stimulant|vitamin B
BRD-K82522873-001-01-1,alcohol dehydrogenase inhibitor
BRD-A83081521-001-02-3,5 alpha reductase inhibitor
BRD-K83405785-001-01-5,serotonin receptor inverse agonist
BRD-K82603084-408-01-1,PKC inhibitor
BRD-K83186168-001-01-8,CRTH receptor antagonist
BRD-K83508485-001-02-7,tachykinin antagonist
BRD-A84174393-236-07-1,cyclooxygenase inhibitor
BRD-K84564571-001-02-4,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K84925803-001-01-9,AP inhibitor
BRD-K84466663-001-05-4,DNA synthesis inhibitor|T cell inhibitor
BRD-A84575140-001-02-4,calcium sensitizer|phosphodiesterase inhibitor
BRD-K84986517-001-01-8,HIV protease inhibitor
BRD-K84996356-001-01-1,Drugs Acting on Androgen Receptor
BRD-K85090592-008-22-7,acetylcholine receptor agonist
BRD-K85833139-001-01-9,protein synthesis stimulant
BRD-K85925969-001-17-4,nucleoside reverse transcriptase inhibitor
BRD-K86892782-001-17-0,DNA directed DNA polymerase inhibitor
BRD-K85751432-001-03-3,MEK inhibitor
BRD-K86118762-001-01-8,IGF-1 inhibitor
BRD-K86930074-001-05-0,KIT inhibitor|VEGFR inhibitor
BRD-A87130939-001-07-9,lipoxygenase inhibitor
BRD-K80082640-001-01-0,coagulation factor inhibitor
BRD-K82236179-213-01-0,NADPH inhibitor
BRD-A84481105-003-20-6,dopamine receptor antagonist
BRD-A80151636-066-04-8,dopamine receptor agonist
BRD-K81795818-019-01-4,cadherin antagonist
BRD-K82928847-001-04-7,HDAC inhibitor
BRD-K84011460-051-01-7,ion channel antagonist
BRD-A86216746-046-02-6,acetylcholine receptor agonist
BRD-K45117373-001-02-9,potassium channel activator
BRD-K45152786-001-08-4,topoisomerase inhibitor
BRD-K84748119-050-01-1,CC chemokine receptor antagonist
BRD-K45071273-003-25-6,membrane integrity inhibitor
BRD-A45153512-001-01-0,prostanoid receptor agonist
BRD-K45875383-001-01-2,benzodiazepine receptor ligand
BRD-K46018455-001-27-6,PPAR receptor agonist
BRD-K46937689-001-15-0,cyclooxygenase inhibitor
BRD-A45889380-300-07-1,cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator
BRD-K45924332-001-16-8,phosphodiesterase inhibitor
BRD-K46839850-050-04-2,calcium channel activator
BRD-K46970505-003-01-9,bacterial cell wall synthesis inhibitor
BRD-K47000838-001-01-6,microtubule inhibitor
BRD-K50133271-001-18-7,cyclooxygenase inhibitor|prostanoid receptor antagonist
BRD-K47976015-001-01-2,RNA polymerase inhibitor
BRD-K48578705-001-16-8,adrenergic receptor agonist
BRD-K47869605-001-32-0,microtubule inhibitor|tubulin inhibitor
BRD-K47936004-003-11-4,dopamine receptor agonist
BRD-K48068743-001-01-6,dipeptidyl peptidase inhibitor
BRD-K48722258-300-10-2,adenosine reuptake inhibitor
BRD-K48892307-001-04-1,NFkB pathway inhibitor
BRD-K49456274-001-01-9,PI3K inhibitor
BRD-K49555808-001-03-9,HIV integrase inhibitor
BRD-K48812570-001-02-3,endothelin receptor antagonist
BRD-K49404994-001-10-9,calcium channel blocker
BRD-K49504902-001-01-6,D-Amino Acid Oxidase Inhibitor
BRD-A50033377-001-02-8,coagulation factor inhibitor
BRD-M80207679-001-01-5,dopamine receptor antagonist
BRD-K80343549-001-02-6,EGFR inhibitor
BRD-K19111024-001-20-9,PPAR receptor agonist
BRD-K80267133-001-17-7,cyclooxygenase inhibitor
BRD-K80396088-001-12-0,sulfonylurea
BRD-K80608265-001-01-6,estrogen receptor agonist
BRD-K81272440-236-13-5,calcium channel blocker
BRD-K81458380-001-04-9,casein kinase inhibitor
BRD-K81528515-001-13-8,Abl kinase inhibitor|Bcr-Abl kinase inhibitor
BRD-K81332461-001-01-4,vitamin D receptor agonist
BRD-K81473089-003-26-1,acetylcholinesterase inhibitor
BRD-K81694556-003-01-9,renin inhibitor
BRD-K81916719-001-13-9,microtubule inhibitor
BRD-A62025033-001-01-8,NA
BRD-K82234479-001-09-4,beta amyloid aggregation inhibitor
BRD-K82244583-001-01-3,MEK inhibitor
BRD-A82396632-008-29-0,bacterial cell wall synthesis inhibitor
BRD-K82225283-001-03-1,nitric oxide stimulant
BRD-A82395837-001-01-9,platelet activating factor receptor antagonist
BRD-K82467063-001-02-7,serotonin receptor antagonist
BRD-K82767007-001-01-1,thromboxane synthase inhibitor
