Metadata_broad_sample,Metadata_moa
BRD-K35458079-001-04-2,Nootropic agent
BRD-K35498378-001-03-8,Aldose reductase inhibitor
BRD-K35629949-001-01-2,CCK receptor antagonist
BRD-K35941380-001-01-7,Serotonin receptor antagonist
BRD-K36009368-001-01-8,Opioid receptor agonist
BRD-K36864847-303-01-7,Adrenergic receptor antagonist
BRD-K36927236-001-06-0,Sulfonylurea
BRD-K37289225-001-07-5,Dopamine receptor antagonist
BRD-K37447567-001-01-8,Opioid receptor antagonist
BRD-K37792168-001-01-0,Phosphodiesterase inhibitor
BRD-K79437791-001-02-4,Inhibitor of methylation of endogenous isoprenylated proteins
BRD-K80325895-001-02-3,-666
BRD-K80396088-001-03-9,Sulfonylurea
BRD-K81209159-001-02-9,Acetylcholinesterase inhibitor
BRD-K81376179-001-01-4,FLT3 inhibitor
BRD-K81839095-001-02-0,Estrogen receptor agonist
BRD-K81876028-300-01-2,Serotonin receptor agonist
BRD-K82255054-001-04-3,GABA receptor agonist
BRD-K82562631-236-02-0,Cyclooxygenase inhibitor
BRD-K82577285-001-01-7,Dopamine receptor agonist
BRD-K82731415-001-04-7,CDK inhibitor
BRD-K82795137-001-02-3,Histamine receptor antagonist
BRD-K82823076-001-01-8,GABA benzodiazepine site receptor inverse agonist
BRD-K82846253-001-03-0,Insulin secretagogue
BRD-K82865713-001-02-6,cAMP inhibitor
BRD-K83023055-001-01-9,Melatonin receptor agonist
BRD-K83302049-001-01-6,Histamine receptor antagonist
BRD-K83597974-003-05-7,Monoamine oxidase inhibitor
BRD-K83637872-001-01-7,Smoothened receptor antagonist
BRD-K84175871-003-02-2,Adrenergic receptor agonist
BRD-K85090592-003-08-7,Acetylcholine receptor agonist
BRD-K85119730-001-06-5,ATP channel blocker
BRD-K86434416-001-02-7,Monoamine oxidase inhibitor
BRD-K86509404-001-02-0,CDK inhibitor
BRD-K86600316-003-01-2,Adrenergic receptor antagonist
BRD-K86873305-236-03-0,Bacterial cell wall synthesis inhibitor
BRD-K87048468-003-01-9,Serotonin receptor antagonist
BRD-K87990216-001-03-7,Glucocorticoid receptor agonist
BRD-K88611939-001-01-8,Glutamate receptor agonist
BRD-K88759641-003-01-0,Angiotensin receptor antagonist
BRD-K88849294-001-02-1,Tyrosine phosphatase inhibitor
BRD-K88871508-001-01-9,Dopamine receptor agonist
BRD-K89375097-300-04-7,Acetylcholine receptor antagonist
BRD-K89402695-001-01-5,Thromboxane receptor antagonist
BRD-K90574421-001-01-9,Serotonin receptor agonist
BRD-K90789829-003-03-3,Adrenergic inhibitor
BRD-K90976994-001-02-1,Bile acid
BRD-K91243525-001-01-5,Neurotensin receptor antagonist
BRD-K91315211-334-02-3,Histamine receptor agonist
BRD-K91336023-001-01-4,Dopamine receptor agonist
BRD-K91904471-001-01-6,p38 MAPK inhibitor
BRD-K92138166-001-01-0,other antibiotic
BRD-K92492521-001-01-1,Leukotriene receptor antagonist
BRD-K92678294-001-01-0,Isoflavone
BRD-K92726801-003-02-7,Haemostatic agent
BRD-K92731339-227-02-3,ACE inhibitor
BRD-K92758126-001-06-3,NFkB pathway inhibitor
BRD-K92778217-001-04-6,Cyclooxygenase inhibitor
BRD-K92984783-003-02-4,Serotonin receptor antagonist
BRD-K93280214-004-02-3,GABA receptor antagonist
BRD-K93325701-001-03-0,SRC inhibitor
BRD-K93332168-001-03-2,Monoamine oxidase inhibitor
BRD-K93441486-067-03-7,Acetylcholine receptor antagonist
BRD-K93460210-001-01-3,Serotonin receptor antagonist
BRD-K93461745-001-01-5,Serotonin receptor agonist
BRD-K94441233-001-03-1,HMGCR inhibitor
BRD-K94689771-001-02-5,CYP1B1 inhibitor
BRD-K94887716-001-01-5,Serotonin receptor agonist
BRD-K94920105-001-01-3,PARP inhibitor
BRD-K95237249-001-04-2,Uricosuric blocker
BRD-K95739795-001-01-1,Vesicular monoamine transporter inhibitor
BRD-K95763993-001-03-7,PDGFR receptor inhibitor
BRD-K95899059-003-01-0,Serotonin receptor agonist
BRD-K95992530-001-02-4,integrin antagonist
BRD-K96119599-001-04-7,Melanin inhibitor
BRD-K96263742-001-02-3,PPAR receptor agonist
BRD-K96402602-001-01-8,PPMTase inhibitor
BRD-K96527333-001-03-4,GABA receptor modulator
BRD-K96670504-001-01-9,Glucokinase inhibitor
BRD-K96720755-001-01-8,Vasopressin receptor antagonist
BRD-K96862998-001-03-1,TGF beta receptor inhibitor
BRD-K97061094-001-03-2,Histamine receptor antagonist
BRD-K97118047-001-01-2,Casein kinase inhibitor
BRD-K97158071-001-04-1,Dopamine receptor antagonist
BRD-K97799481-002-03-6,Adenosine receptor antagonist
BRD-A00100033-001-04-8,DNA inhibitor
BRD-A00267231-001-01-1,Adenosine receptor agonist
BRD-A00520476-001-03-3,Acetylcholine receptor antagonist
BRD-A00993607-003-04-8,Adrenergic receptor antagonist
BRD-A01295252-001-01-5,Dopamine receptor ligand
BRD-A02176148-001-02-2,Mitochondrial complex I inhibitor
BRD-A02189320-015-02-5,-666
BRD-A02759312-003-11-2,Adrenergic receptor antagonist
BRD-A03216249-003-02-9,Potassium channel blocker
BRD-A03359064-001-01-5,Adrenergic receptor antagonist
BRD-A03623303-045-02-0,Adrenergic receptor antagonist
BRD-A04668240-001-01-5,GABA receptor antagonist
BRD-A04706586-236-01-7,Adenosine receptor agonist
BRD-A06352418-001-03-6,Histamine receptor antagonist
BRD-A06390036-001-02-0,Antiarrhythmic
BRD-A06726973-001-02-0,cGMP analog
BRD-A07440155-003-04-9,Adrenergic receptor antagonist
BRD-A07780951-001-02-2,Adrenergic receptor agonist
BRD-A08877921-001-02-2,Protein synthesis inhibitor
BRD-A09056319-003-03-6,Adrenergic receptor antagonist
BRD-A09062839-003-03-5,Local anesthetic
BRD-A09472452-001-02-8,Sodium channel blocker
BRD-A09539288-004-02-8,Acetylcholine receptor antagonist
BRD-A09828896-004-04-5,Dopamine receptor agonist
BRD-A09925278-003-03-1,Adrenergic receptor agonist
BRD-A10355991-003-01-8,Glutamate receptor antagonist
BRD-A10715913-001-02-0,Dopamine receptor antagonist
BRD-A10903566-003-02-8,Adrenergic receptor antagonist
BRD-A10969569-001-02-0,Plant alkaloid
BRD-A10977446-001-04-8,Adrenergic receptor antagonist
BRD-A11605036-001-03-2,GABA receptor antagonist
BRD-A11813248-001-02-8,Potassium channel blocker
BRD-A12016240-001-01-7,Serotonin receptor antagonist
BRD-A13188892-066-03-3,Adrenergic receptor antagonist
BRD-A13650332-236-03-9,Bacterial cell wall synthesis inhibitor
BRD-A13946108-001-03-1,Cyclooxygenase inhibitor
BRD-A14395271-001-01-5,Dopamine receptor antagonist
BRD-A14574269-051-01-4,Acetylcholine receptor agonist
BRD-A16332958-001-02-4,Adrenergic receptor agonist
BRD-A16665823-008-03-3,Bacterial cell wall synthesis inhibitor
BRD-A17428743-001-01-1,Serotonin receptor agonist
BRD-A17453586-001-01-9,Serotonin receptor agonist
BRD-A17535965-001-02-2,Acetylcholine receptor antagonist
BRD-A17655518-001-02-0,Cyclooxygenase inhibitor
BRD-A18202423-001-01-6,Glutamate receptor antagonist
BRD-A18579359-001-03-1,Neural Wiskott-Aldrich syndrome protein inhibitor
BRD-A18763547-019-01-0,Cytochrome C release inhibitor
BRD-A19053259-003-03-3,Anthelmintic
BRD-A19195498-050-04-2,Norepinephrine reuptake inhibitor
BRD-A19736161-310-01-3,Serotonin receptor antagonist
BRD-A20239487-001-02-5,Adrenergic receptor antagonist
BRD-A21723284-066-01-7,Opioid receptor antagonist
BRD-A21858158-001-04-5,Anthelmintic
BRD-A22380646-001-01-5,ATPase inhibitor
BRD-A22769835-300-03-2,Antihistamine
BRD-A22844106-001-04-7,Cyclooxygenase inhibitor
BRD-A23072235-050-04-5,Histamine receptor antagonist
BRD-A24122750-001-01-1,GABA receptor antagonist
BRD-A24191444-045-03-1,Adrenergic receptor antagonist
BRD-A24228527-001-04-2,Bacterial DNA gyrase inhibitor
BRD-A24514565-236-01-6,Vitamin K antagonist
BRD-A26032986-050-01-3,Calmodulin antagonist
BRD-A26334849-001-02-1,Antiarrhythmic
BRD-A26384407-001-04-6,Carbonic anhydrase inhibitor
BRD-A26845397-001-01-4,Adrenergic receptor antagonist
BRD-A27143604-001-01-2,Estrogen receptor agonist
BRD-A28318179-003-03-6,Nitric oxide synthase inhibitor
BRD-A29426959-050-04-1,Histamine receptor antagonist
BRD-A29644307-050-04-8,Dopamine uptake inhibitor
BRD-A29734509-011-02-9,Sodium channel blocker
BRD-A30590053-003-01-1,Acetylcholine release enhancer
BRD-A30655177-001-04-1,BTK inhibitor
BRD-A30815329-001-03-0,Calcium channel blocker
BRD-A31007383-001-01-0,Adenosine receptor agonist
BRD-A31159102-001-01-9,Selective serotonin reuptake inhibitor (SSRI)
BRD-A31195449-004-01-9,Serotonin receptor agonist
BRD-A31521121-001-04-1,Muscle relaxant
BRD-A31575449-300-01-4,Adrenergic receptor antagonist
BRD-A32164164-048-01-4,Acetylcholine receptor antagonist
BRD-A33168282-003-06-5,Adrenergic receptor antagonist
BRD-A33447119-001-02-5,Anthelmintic
BRD-A33711280-311-02-0,Acetylcholine receptor antagonist
BRD-A34706053-003-01-9,Adrenergic receptor agonist
BRD-A35511923-019-01-6,Somatostatin receptor agonist
BRD-A36066264-001-02-3,Estrogen receptor agonist
BRD-A36074203-003-03-5,Glutamate receptor antagonist
BRD-A36217750-001-04-9,Uricosuric blocker
BRD-A36267905-003-02-8,Adrenergic receptor agonist
BRD-A36318220-001-01-3,RIPK inhibitor
BRD-A36471396-003-02-2,Acetylcholine receptor antagonist
BRD-A38747044-001-01-5,Imidazoline receptor ligand
BRD-A38898897-003-01-0,Leukocyte elastase inhibitor
BRD-A38913120-001-01-0,BCL inhibitor
BRD-A39230911-001-03-7,Muscle relaxant
BRD-A39255369-001-01-5,Chloride channel blocker
BRD-A39268308-001-02-0,Acetylcholine receptor agonist
BRD-A39969961-001-01-3,Cytochrome P450 inhibitor
BRD-A40639672-234-04-0,Cyclooxygenase inhibitor
BRD-A41145729-001-02-7,Retinoid receptor agonist
BRD-A41250306-001-03-4,Thiazide diuretic
BRD-A41301928-001-02-5,"Mitochondrial ADP, ATP translocase inhibitor"
BRD-A41304429-001-04-9,Adrenergic receptor antagonist
BRD-A41451487-001-01-3,Benzodiazepine receptor antagonist
BRD-A41519720-001-02-2,Niemann-Pick C1-like 1 protein antagonist
BRD-A41833852-001-01-9,Opioid receptor antagonist
BRD-A41941932-001-03-0,Antioxidant
BRD-A42167015-003-03-7,Adrenergic receptor antagonist
BRD-A42759514-001-03-1,Antiprotozoal
BRD-A43150328-001-02-0,other antibiotic
BRD-A43671941-003-03-6,Adrenergic receptor antagonist
BRD-A43849199-001-02-3,Phytotoxin
BRD-A43974499-066-01-1,Adrenergic receptor antagonist
BRD-A44008656-036-04-3,Histamine receptor antagonist
BRD-A44090213-001-04-1,Cyclooxygenase inhibitor
BRD-A44133049-001-01-5,Serotonin receptor antagonist
BRD-A44448661-001-02-2,Barbiturate antiepileptic
BRD-A45499626-001-01-0,Glutamate receptor antagonist
BRD-A47494775-003-03-0,Adrenergic receptor agonist
BRD-A49046702-001-01-2,GABA uptake inhibitor
BRD-A49734948-001-03-3,Plant alkaloid
BRD-A49906757-004-03-1,Acetylcholine receptor antagonist
BRD-A51714012-001-02-3,Adrenergic inhibitor
BRD-A51820102-008-04-0,Bacterial cell wall synthesis inhibitor
BRD-A51829654-001-01-4,Serotonin receptor antagonist
BRD-A52588987-004-04-1,Dopamine receptor antagonist
BRD-A52660433-066-01-3,Monoamine oxidase inhibitor
BRD-A53576514-003-03-1,Acetylcholine receptor antagonist
BRD-A54236247-003-02-7,Adrenergic receptor agonist
BRD-A55369275-001-01-6,GABA receptor antagonist
BRD-A55393291-001-02-4,Androgen receptor agonist
BRD-A56675431-001-04-0,Thiazide diuretic
BRD-A56987319-001-03-8,Adenylyl cyclase inhibitor
BRD-A57382968-001-06-8,Cyclooxygenase inhibitor
BRD-A58048407-001-06-3,Calcium channel blocker
BRD-A59215453-003-03-3,Acetylcholine receptor antagonist
BRD-A59303141-001-03-9,Thiazide diuretic
BRD-A60197193-001-05-4,Dopamine receptor antagonist
BRD-A61793559-001-04-0,Carbonic anhydrase inhibitor
BRD-A61856038-001-01-2,Lipoxygenase inhibitor
BRD-A62057054-001-01-5,Serotonin receptor antagonist
BRD-A62525898-001-02-9,Glucocorticoid receptor agonist
BRD-A63546914-003-01-2,Glutamate receptor antagonist
BRD-A64092382-003-03-5,Sodium channel blocker
BRD-A64125466-236-02-0,choleretic agent
BRD-A64227845-004-02-8,Dopamine receptor agonist
BRD-A64228451-001-03-5,BTK inhibitor
BRD-A64977602-001-01-9,Adrenergic receptor antagonist
BRD-A65013509-003-03-8,Acetylcholine receptor antagonist
BRD-A65280694-003-03-8,Dopamine receptor antagonist
BRD-A65440446-001-02-5,Adrenergic receptor agonist
BRD-A65597028-003-02-4,Adrenergic receptor antagonist
BRD-A65615053-003-01-4,Serotonin receptor antagonist
BRD-A66435872-313-01-8,Histamine receptor agonist
BRD-A66563878-003-01-8,Adrenergic receptor agonist
BRD-A66927094-001-01-7,Dopamine receptor antagonist
BRD-A67862938-034-04-0,Adrenergic receptor antagonist
BRD-A68281735-001-02-0,Leukotriene receptor antagonist
BRD-A68723818-050-04-4,Histamine receptor antagonist
BRD-A69636825-003-02-1,Calcium channel blocker
BRD-A70083328-001-02-9,Acetylcholinesterase inhibitor
BRD-A70268693-103-01-9,Acetylcholine receptor agonist
BRD-A70514680-003-03-9,Local anesthetic
BRD-A71157293-003-03-5,Vitamin B
BRD-A71203467-001-01-5,Dopamine receptor antagonist
BRD-A72483914-001-01-1,Serotonin receptor antagonist
BRD-A72988804-001-03-8,Cyclooxygenase inhibitor
BRD-A73368467-003-02-8,Histamine receptor antagonist
BRD-A73859745-236-01-8,Apoptosis stimulant
BRD-A74667430-001-04-6,Cyclooxygenase inhibitor
BRD-A74904029-001-04-0,Casein kinase inhibitor
BRD-A74980173-001-02-8,Bacterial DNA gyrase inhibitor
BRD-A75552914-001-04-4,Cyclooxygenase inhibitor
BRD-A76093993-001-01-8,Potassium channel activator
BRD-A77299732-001-01-6,Eukaryotic translation initiation factor inhibitor
BRD-A78377521-001-02-2,Kinesin-like spindle protein inhibitor
BRD-A78877355-003-03-6,Cyclooxygenase inhibitor
BRD-A78942461-003-01-3,Adrenergic receptor antagonist
BRD-A79672927-001-04-1,Acetylcholine receptor antagonist
BRD-A80017228-001-04-2,Sodium/potassium/chloride transporter inhibitor
BRD-A80213327-305-01-8,Ras GTPase inhibitor
BRD-A80641450-001-01-4,Endothelin receptor antagonist
BRD-A81866333-003-01-5,Adenosine receptor agonist
BRD-A83326220-001-02-6,Nitric oxide production inhibitor
BRD-A83431637-001-01-3,Cytochrome P450 inhibitor
BRD-A83695761-001-01-1,Potassium channel blocker
BRD-A83855350-003-01-4,Opioid receptor antagonist
BRD-A83937277-001-03-0,Hydantoin antiepileptic
BRD-A84174393-001-02-0,Cyclooxygenase inhibitor
BRD-A84389091-001-01-1,GABA receptor inverse agonist
BRD-A85234536-001-04-5,Adenosine receptor agonist
BRD-A85280935-003-01-7,Dopamine receptor agonist
BRD-A85472596-001-01-4,Prostanoid receptor antagonist
BRD-A85587465-001-01-7,Serotonin receptor antagonist
BRD-A87479750-001-01-9,Cyclooxygenase inhibitor
BRD-A87719232-001-02-4,Cyclooxygenase inhibitor
BRD-A88282067-001-02-2,Antiarrhythmic
BRD-A89672324-001-02-2,GABA receptor antagonist
BRD-A90311807-236-01-4,Dehydropeptidase inhibitor
BRD-A91699651-316-04-2,Antimalarial
BRD-A91866971-001-02-2,Thromboxane receptor antagonist
BRD-A92161634-001-02-6,Acetylcholine receptor antagonist
BRD-A92585442-237-01-0,Cytochrome P450 inhibitor
BRD-A92670106-003-03-9,Sodium channel blocker
BRD-A92826379-009-02-6,Sodium channel blocker
BRD-A93000692-001-03-2,PPAR receptor agonist
BRD-A93255169-001-06-9,TNF production inhibitor
BRD-A93659613-051-03-6,Opioid receptor agonist
BRD-A94543220-001-02-3,Sterol demethylase inhibitor
BRD-A94669766-001-02-6,Aromatase inhibitor
BRD-A94709349-001-02-6,Muscle relaxant
BRD-A95696066-003-06-2,Norepinephrine reuptake inhibitor
BRD-A96456596-001-01-4,Leukotriene receptor antagonist
BRD-A96485169-001-02-8,Aldose reductase inhibitor
BRD-A96882008-001-01-3,Tachykinin antagonist
BRD-A97479839-003-04-2,Acetylcholine receptor antagonist
BRD-A98702003-304-02-2,11-beta-HSD1 inhibitor
BRD-K00206590-001-01-2,ATP channel activator
BRD-K01648091-001-04-2,Dopamine receptor antagonist
BRD-K01815685-001-02-3,aryl hydrocarbon receptor agonist
BRD-K01902415-001-03-4,PPAR receptor agonist
BRD-K02404261-001-02-7,Adenosine receptor antagonist
BRD-K02581333-001-01-8,Tyrosine phosphatase inhibitor
BRD-K02607075-333-03-6,Acetylcholine receptor antagonist
BRD-K02637541-001-02-4,Cyclooxygenase inhibitor
BRD-K03384561-001-01-9,Angiogenesis inhibitor
BRD-K03440695-001-02-6,Acetylcholine receptor antagonist
BRD-K03600606-001-02-3,Beta secretase inhibitor
BRD-K03670461-001-02-0,EGFR inhibitor
BRD-K03981224-001-02-9,Progestogen hormone
BRD-K04046242-001-03-6,Estrogen receptor agonist
BRD-K04111260-001-01-9,Dopamine receptor antagonist
BRD-K04170657-001-02-4,Ras GTPase inhibitor
BRD-K04185004-003-03-6,Local anesthetic
BRD-K04430056-001-02-9,nitric oxide synthase inhibitor
BRD-K05181463-001-01-6,Dopamine receptor antagonist
BRD-K05464208-001-01-6,p38 MAPK inhibitor
BRD-K05653692-001-02-5,Glucosyltransferase inhibitor
BRD-K05673000-323-02-8,Bacterial cell wall synthesis inhibitor
BRD-K05901394-001-01-1,Dopamine receptor agonist
BRD-K05906022-001-02-8,HIV protease inhibitor
BRD-K06014311-001-01-2,Melatonin receptor antagonist
BRD-K06024458-001-01-4,cannabinoid receptor agonist
BRD-K06147391-003-01-9,Acetylcholine receptor antagonist
BRD-K06159959-001-01-2,Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites
BRD-K06208435-001-02-9,Calcium channel blocker
BRD-K06221026-001-03-5,Cyclooxygenase inhibitor
BRD-K06467078-001-01-5,Adrenergic receptor antagonist
BRD-K06753942-001-02-0,MEK inhibitor
BRD-K06980535-003-04-4,Dopamine receptor antagonist
BRD-K07117950-001-02-6,CDK inhibitor
BRD-K07212038-001-02-1,Mast cell stabilizer
BRD-K07220430-001-03-6,Calcium channel blocker
BRD-K07325606-001-02-3,PKC inhibitor
BRD-K07888196-001-01-8,IGF-1 inhibitor
BRD-K08132273-001-01-6,EGFR inhibitor
BRD-K08219523-001-01-9,Serotonin receptor agonist
BRD-K08252256-236-04-9,Cyclooxygenase inhibitor
BRD-K08287586-001-03-6,DNA synthesis inhibitor
BRD-K08554278-001-02-4,DNA binding agent
BRD-K08619574-334-03-9,Dopamine receptor antagonist
BRD-K08619838-300-03-2,Acetylcholine receptor agonist
BRD-K08640512-003-01-5,Adrenergic receptor antagonist
BRD-K08806317-050-03-6,Adrenergic receptor antagonist
BRD-K08890269-001-01-5,Sodium channel blocker
BRD-K08973992-001-01-3,Oxidative stress inducer
BRD-K09397065-001-01-6,Serotonin receptor agonist
BRD-K09635134-001-02-4,negative control for D-erythro-MAPP
BRD-K09635314-001-01-8,phospholipase activator
BRD-K09668667-001-02-0,Carcinogen
BRD-K09764130-001-02-6,Cannabinoid receptor agonist
BRD-K10177585-003-01-6,Adenosine receptor antagonist
BRD-K10670311-001-04-9,Antirheumatic
BRD-K10705233-001-01-4,Cannabinoid receptor agonist
BRD-K10843433-001-02-9,Cyclooxygenase inhibitor
BRD-K10974103-001-03-9,Protein synthesis inhibitor
BRD-K10995081-001-05-5,Dopamine receptor antagonist
BRD-K11129031-001-04-4,Lipoprotein lipase activator
BRD-K11163873-001-02-8,PARP inhibitor
BRD-K11373525-003-01-3,Angiotensin receptor antagonist
BRD-K11696279-003-01-5,Imidazoline receptor agonist
BRD-K12102668-001-04-0,Monoamine oxidase inhibitor
BRD-K12120659-305-01-4,Integrin antagonist
BRD-K12219985-001-04-8,Sulfonylurea
BRD-K12244279-001-01-7,MEK inhibitor
BRD-K12932420-001-01-5,Phosphodiesterase inhibitor
BRD-K12994359-001-02-8,Cyclooxygenase inhibitor
BRD-K13261168-001-01-4,Dopamine receptor agonist
BRD-K13571841-001-03-7,Aspartic protease inhibitor
BRD-K13819402-003-02-9,Acetylcholinesterase inhibitor
BRD-K14200658-001-02-6,Vesicular monoamine transporter inhibitor
BRD-K14221570-236-01-1,HIV entry inhibitor
BRD-K14441456-001-01-2,EGFR inhibitor
BRD-K14618467-003-01-8,IKK inhibitor
BRD-K14888893-001-02-3,KATP activator
BRD-K14965640-001-03-3,Cyclooxygenase inhibitor
BRD-K14993104-001-03-4,Chemoreceptor agonist
BRD-K15196155-001-01-5,Hydroxycarboxylic acid receptor agonist
BRD-K15601958-001-01-3,Lysophospholipid receptor agonist
BRD-K15842202-001-02-5,-666
BRD-K15868788-001-01-4,Serotonin receptor antagonist
BRD-K16195444-001-01-7,Adrenergic receptor agonist
BRD-K16977723-001-01-0,EGFR inhibitor
BRD-K17140735-300-01-6,Proteasome inhibitor
BRD-K17378184-300-03-4,Dopamine receptor agonist
BRD-K17674993-001-03-1,Corticosteroid agonist
BRD-K40965114-001-01-2,Adrenergic receptor antagonist
BRD-K41445866-001-03-0,Chloride channel agonist
BRD-K41707108-001-02-3,Phosphoenolpyruvate carboxylase activator
BRD-K41996876-001-05-5,EGFR inhibitor
BRD-K43149758-001-04-5,Androgen receptor agonist
BRD-K43290182-001-01-9,Serotonin receptor antagonist
BRD-K43468059-001-02-9,Mycotoxin
BRD-K44876623-001-01-1,Benzodiazepine receptor agonist
BRD-K44899736-003-02-1,Monoamine oxidase inhibitor
BRD-K45033733-001-02-3,DNA polymerase inhibitor
BRD-K45068323-003-01-3,Calmodulin antagonist
BRD-K45296539-003-01-0,Adrenergic receptor agonist
BRD-K45401373-001-05-0,Apoptosis stimulant
BRD-K45435259-001-01-6,Dopamine receptor antagonist
BRD-K45479396-001-01-8,Serotonin receptor agonist
BRD-K45542189-048-04-9,Lipoxygenase inhibitor
BRD-K45861246-001-04-3,Dopamine receptor antagonist
BRD-K46018455-001-06-0,PPAR receptor agonist
BRD-K46211610-003-05-1,Adrenergic receptor antagonist
BRD-K46317332-003-04-6,Nitric oxide synthase inhibitor
BRD-K46384212-001-01-1,phospholipase activator
BRD-K46424862-001-04-2,Monoamine oxidase inhibitor
BRD-K46435977-003-01-2,DNA polymerase inhibitor
BRD-K46556543-237-03-0,Mineralocorticoid receptor antagonist
BRD-K46766488-003-01-2,Serotonin receptor agonist
BRD-K46937689-001-05-1,Cyclooxygenase inhibitor
BRD-K47192521-001-02-1,Platelet aggregation inhibitor
BRD-K47207162-312-02-2,Serotonin reuptake inhibitor
BRD-K47278471-003-04-0,Histamine receptor antagonist
BRD-K47323024-003-04-6,Histamine receptor antagonist
BRD-K47631482-003-02-1,Mucolytic agent
BRD-K47639036-003-03-3,Acetylcholine receptor antagonist
BRD-K47693913-001-02-4,Furoquinoline alkaloid
BRD-K47717570-304-01-5,Glutamate receptor antagonist
BRD-K47943470-001-02-8,EGFR inhibitor
BRD-K48168960-001-05-1,Thyroid peroxidase inhibitor
BRD-K48300629-001-03-8,Sodium channel blocker
BRD-K48692744-001-01-2,PARP inhibitor
BRD-K49027941-237-01-1,Adenosine receptor antagonist
BRD-K49111258-001-02-8,Adrenergic receptor antagonist
BRD-K49448285-001-01-3,CDK inhibitor
BRD-K49481516-004-03-5,Acetylcholinesterase inhibitor
BRD-K49519092-303-01-4,Histamine receptor agonist
BRD-K49671696-001-02-1,Serotonin receptor antagonist
BRD-K49890030-236-01-6,Glutamate receptor antagonist
BRD-K49945136-001-03-5,Serotonin receptor antagonist
BRD-K50018155-003-01-3,Serotonin receptor partial agonist
BRD-K50214219-001-02-4,PARP inhibitor
BRD-K50398167-236-02-9,Cyclooxygenase inhibitor
BRD-K50417881-003-05-9,Dopamine receptor antagonist
BRD-K50422030-001-01-2,GABA receptor antagonist
BRD-K50660797-001-02-8,Bacterial DNA gyrase inhibitor
BRD-K51541829-001-01-3,Ionotropic glutamate receptor antagonist
